datetime_local,T_out_2040_C,T_air_with_cooling_C,T_air_no_cooling_C,P_cool_el_kW
2014-06-21 00:00:00,30.98,26.0,33.93052748192983,6.537564866675638
2014-06-21 01:00:00,31.03,26.0,33.908627019181104,6.519542411675417
2014-06-21 02:00:00,30.95,26.0,33.89047531481993,6.394678851383528
2014-06-21 03:00:00,30.88,26.0,33.86947853002163,6.279603546765602
2014-06-21 04:00:00,30.82,26.0,33.84664300314979,6.17428012476313
2014-06-21 05:00:00,30.76,26.0,33.82276812884347,6.070339788310718
2014-06-21 06:00:00,31.06,26.0,33.79804075350601,6.267747960269616
2014-06-21 07:00:00,31.03,26.0,33.788807786597836,6.191470927929545
2014-06-21 08:00:00,30.99,26.0,33.77717577656177,7.734405178206498
2014-06-21 09:00:00,31.01,26.0,33.85101733524137,7.836082607671034
2014-06-21 10:00:00,30.99,26.0,33.9157964564445,8.033718249845975
2014-06-21 11:00:00,31.04,26.0,33.97874281267859,8.537295670062564
2014-06-21 12:00:00,31.08,26.0,34.05697439985667,8.637699720888238
2014-06-21 13:00:00,31.12,26.0,34.12596612009048,8.610176943277196
2014-06-21 14:00:00,31.18,26.0,34.18089023030522,8.573822084953548
2014-06-21 15:00:00,31.19,26.0,34.22424990091155,8.434286551939168
2014-06-21 16:00:00,31.2,26.0,34.25290668350731,8.329376260048615
2014-06-21 17:00:00,31.16,26.0,34.27172782387651,8.089172004939634
2014-06-21 18:00:00,31.53,26.0,34.275397421520715,7.651088993374696
2014-06-21 19:00:00,31.48,26.0,34.2562179134635,7.192799225099097
2014-06-21 20:00:00,31.38,26.0,34.217529397733834,7.039441954860806
2014-06-21 21:00:00,31.33,26.0,34.17949309667306,6.933872572655955
2014-06-21 22:00:00,31.33,26.0,34.14438256127321,6.8715674250062255
2014-06-21 23:00:00,31.28,26.0,34.113790663927574,6.769153239381068
